DESTINATION,YEARS,Tourists Number (Overnight Visitors) (000),Overnight Stay (000),Tourists Spending (SAR Mn),Average Length of Stay (Night),Avergae Spending per Trip (SAR),Average Spending per Night (SAR)
Riyadh Province,2015,2021.0,8639.0,9897.0,4.3,"4,897","1,146"
Riyadh Province,2016,3242.0,14918.0,20739.0,4.6,"6,396","1,390"
Riyadh Province,2017,1998.0,8922.0,12849.0,4.5,"6,430","1,440"
Riyadh Province,2018,2010.0,10147.0,12021.0,5.1,"5,980","1,185"
Riyadh Province,2019,2933.0,19719.0,16943.0,6.7,"5,777",859
Riyadh Province,2020,1065.0,9437.0,4967.0,8.9,"4,666",526
Riyadh Province,2021,1223.0,14859.0,7472.0,12.2,"6,107",503
Riyadh Province,2022,1911.0,41957.0,11535.0,22.0,"6,037",275
Riyadh Province,2023,3010.0,56979.0,12542.0,18.9,"4,167",220
Riyadh Province,2024,2861.0,40617.0,10574.0,14.2,"3,696",260
Riyadh,2015,1917.0,8327.1,9731.0,4.3,"5,076","1,169"
Riyadh,2016,3203.3,14778.0,20671.0,4.6,"6,453","1,399"
Riyadh,2017,1943.0,8716.0,12724.0,4.5,"6,548","1,460"
Riyadh,2018,1958.0,9950.0,11923.0,5.1,"6,090","1,198"
Riyadh,2019,2862.0,19485.0,16788.0,6.8,"5,865",862
Riyadh,2020,1038.0,9319.0,4899.0,9.0,"4,719",526
Riyadh,2021,1185.0,14557.0,7352.0,12.3,"6,203",505
Riyadh,2022,1810.0,41553.0,11303.0,23.0,"6,245",272
Riyadh,2023,2774.0,52163.0,11759.0,18.8,"4,240",225
Riyadh,2024,2699.0,37845.0,10269.0,14.0,"3,805",271
Other Riyadh,2015,104.0,312.0,166.0,3.0,"1,596",531
Other Riyadh,2016,39.0,140.0,67.0,3.6,"1,724",483
Other Riyadh,2017,55.0,206.0,124.0,3.8,"2,269",605
Other Riyadh,2018,53.0,198.0,99.0,3.8,"1,870",498
Other Riyadh,2019,70.0,234.0,155.0,3.3,"2,204",662
Other Riyadh,2020,27.0,118.0,68.0,4.4,"2,570",579
Other Riyadh,2021,38.0,302.0,120.0,7.9,"3,140",397
Other Riyadh,2022,101.0,403.0,232.0,4.0,"2,308",575
Other Riyadh,2023,236.0,4816.0,783.0,20.4,"3,311",163
Other Riyadh,2024,162.0,2772.0,304.0,17.1,"1,881",110
